,01_Kingdom,02_Subkingdom,03_Infrakingdom,04_Superdivision,05_Division,06_Subdivision,07_Class,08_Superorder,09_Order,10_Family,11_Genus,12_Species,treename,tsn,08_Subclass,13_Variety,14_Variety,15_Variety,16_Variety,13_Subspecies,14_Subspecies,17_Variety,18_Variety,19_Variety,01_Species
31,Plantae,Viridiplantae,Streptophyta,Embryophyta,Tracheophyta,Spermatophytina,Pinopsida,,Pinales,Pinaceae,Pinus,Pinus virginiana,Virginia Pine ,183394,Pinidae,,,,,,,,,,
32,Plantae,Viridiplantae,Streptophyta,Embryophyta,Tracheophyta,Spermatophytina,Pinopsida,,Pinales,Cupressaceae,Juniperus,Juniperus virginiana,Eastern Red Cedar,18048,Pinidae,Juniperus virginiana var. silicicola,Juniperus virginiana var. virginiana,,,,,,,,
33,Plantae,Viridiplantae,Streptophyta,Embryophyta,Tracheophyta,Spermatophytina,Pinopsida,,Pinales,Pinaceae,Tsuga,Tsuga canadensis,Eastern Hemlock,183397,Pinidae,,,,,,,,,,
34,Plantae,Viridiplantae,Streptophyta,Embryophyta,Tracheophyta,Spermatophytina,Pinopsida,,Pinales,Cupressaceae,Taxodium,Taxodium distichum,Bald Cypress,18041,Pinidae,Taxodium distichum var. distichum,Taxodium distichum var. imbricarium,,,,,,,,
35,Plantae,Viridiplantae,Streptophyta,Embryophyta,Tracheophyta,Spermatophytina,Magnoliopsida,Rosanae,Fagales,Betulaceae,Betula,Betula lenta,sweet birch,19487,,,,,,,,,,,
36,Plantae,Viridiplantae,Streptophyta,Embryophyta,Tracheophyta,Spermatophytina,Magnoliopsida,Rosanae,Fagales,Fagaceae,Fagus,Fagus grandifolia,American beech,19462,,,,,,,,,,,
37,Plantae,Viridiplantae,Streptophyta,Embryophyta,Tracheophyta,Spermatophytina,Magnoliopsida,Rosanae,Rosales,Rosaceae,Prunus,Prunus americana,American Wild Plum,24763,,,,,,,,,,,
38,Plantae,Viridiplantae,Streptophyta,Embryophyta,Tracheophyta,Spermatophytina,Magnoliopsida,Rosanae,Rosales,Rosaceae,Malus,Malus coronaria,Sweet Crabapple,25257,,,,,,,,,,,
39,Plantae,Viridiplantae,Streptophyta,Embryophyta,Tracheophyta,Spermatophytina,Magnoliopsida,Rosanae,Rosales,Rosaceae,Crataegus,Crataegus crus-galli,Cockspur Hawthorn,24552,,Crataegus crus-galli var. crus-galli,Crataegus crus-galli var. pyracanthifolia,Crataegus crus-galli var. regalis,,,,,,,
40,Plantae,Viridiplantae,Streptophyta,Embryophyta,Tracheophyta,Spermatophytina,Magnoliopsida,Rosanae,Fagales,Fagaceae,Quercus,Quercus virginiana,Southern Live Oak,19283,,,,,,,,,,,
41,Plantae,Viridiplantae,Streptophyta,Embryophyta,Tracheophyta,Spermatophytina,Magnoliopsida,Rosanae,Fagales,Fagaceae,Quercus,Quercus rubra,northern red oak,19408,,,,,,,,,,,
42,Plantae,Viridiplantae,Streptophyta,Embryophyta,Tracheophyta,Spermatophytina,Magnoliopsida,Rosanae,Fagales,Fagaceae,Quercus,Quercus falcata,Southern Red Oak,19277,,,,,,,,,,,
43,Plantae,Viridiplantae,Streptophyta,Embryophyta,Tracheophyta,Spermatophytina,Magnoliopsida,Rosanae,Fagales,Fagaceae,Quercus,Quercus velutina,Black Oak,19447,,,,,,,,,,,
44,Plantae,Viridiplantae,Streptophyta,Embryophyta,Tracheophyta,Spermatophytina,Magnoliopsida,Rosanae,Fagales,Fagaceae,Quercus,Quercus nigra,Water Oak,19280,,,,,,,,,,,
45,Plantae,Viridiplantae,Streptophyta,Embryophyta,Tracheophyta,Spermatophytina,Magnoliopsida,Rosanae,Rosales,Ulmaceae,Ulmus,Ulmus americana,American elm,19049,,,,,,,,,,,
46,Plantae,Viridiplantae,Streptophyta,Embryophyta,Tracheophyta,Spermatophytina,Magnoliopsida,Rosanae,Rosales,Ulmaceae,Ulmus,Ulmus rubra,Slippery Elm,19050,,,,,,,,,,,
